souq,top100producturl,price,title,description,productinformation,countreview,weightvalue,weightmeasure,longestest,shortest,median,rank,sales
2,https://www.amazon.com/dp/B07YXYY239/ref=sspa_dk_detail_5?psc=1&pd_rd_i=B07YXYY239&pd_rd_w=VI106&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=h9ev1&pf_rd_r=10EFAVYH4F7WK6XKXK6P&pd_rd_r=ed3c6613-25f4-4e63-8feb-500517ba0313&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyTkFUMUUxVzdTTVcyJmVuY3J5cHRlZElkPUEwNjQ5OTM5MThLMzA1QzEzMjRNSCZlbmNyeXB0ZWRBZElkPUEwMDEwODg3MURIQzRTUjA1NlI1SCZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,34.99,"H11 H8 H9 LED Headlight Bulbs CREE-Chips MINI Size 12,000Lm 6000k AUHDER All-in-One Super Bright Conversion Kit White Pack of 2","[Super Bright] 40W and 6,000Lm per led H11, 6000k white H11 LED bulb. Using customized CREE-Chips, each H11 led headlight bulb can light up xenon white, with perfect light output. Our LED bulb is 400% brighter than stock H11 bulb, and is compatible with h8, h9 and h11 sockets.
[Perfect Beam Pattern] Same beam pattern as H11 halogen lamps. AUHDER’s LEDs are super focused. The max light output helps you see clearer, wider and farther, so you can enjoy one of the brightest lighting performances and have a comfortable driving experience at night.
[Plug and Play] Mini sized lamp body. A halogen-like size means it’s easier to install. These h11 headlight bulbs are made to fit directly into stock housing and factory sockets, so there is no hassle on the installation.
[CAN Bus Built-in] CAN Bus Built-in makes our h11 led headlight bulbs compatible with 99%of vehicle systems, upgrading drivers with built-in intelligent IC and temperature control. These ensure lamps are working at the best ability without errors or radio interference.
[Cooling Fan] Whole aviation aluminum body (including Chuck) and a 13,000RPM turbo cooling fan provide enough cooling ability to ensure the H11 led bulb white bulbs lasting up to 30,000 hours.
› See more product details","Product information
Technical Details
Brand AUHDER
Item Weight 7.2 ounces
Package Dimensions 4.9 x 4.9 x 2 inches
Manufacturer Part Number HL-A1
Additional Information
ASIN B07YXYY239
Customer Reviews
86 ratings
4.7 out of 5 stars
Best Sellers Rank #8,234 in Automotive (See Top 100 in Automotive)
#420 in Automotive Light Bulbs
Shipping Weight 7.2 ounces (View shipping rates and policies)
Date First Available October 10, 2019
Warranty & Support
Product Warranty: For warranty information about this product, please click here
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",168,7.2,ounces,7.2,4.9,4.9,8234,3 (30 Days Avg)
6,https://www.amazon.com/dp/B07YXYY239/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B07YXYY239&pd_rd_w=0jpZY&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=4sliX&pf_rd_r=7Y9PZZ7A5Y7Y3KF3AQ71&pd_rd_r=172ab4d4-4c1c-413a-ad6e-6b9214d7a723&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyNlJWWVpRM1hZSDBIJmVuY3J5cHRlZElkPUEwMzg0OTI2M01MQ0FGODRJQlk5VCZlbmNyeXB0ZWRBZElkPUEwMDEwODg3MURIQzRTUjA1NlI1SCZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,34.99,"H11 H8 H9 LED Headlight Bulbs CREE-Chips MINI Size 12,000Lm 6000k AUHDER All-in-One Super Bright Conversion Kit White Pack of 2","[Super Bright] 40W and 6,000Lm per led H11, 6000k white H11 LED bulb. Using customized CREE-Chips, each H11 led headlight bulb can light up xenon white, with perfect light output. Our LED bulb is 400% brighter than stock H11 bulb, and is compatible with h8, h9 and h11 sockets.
[Perfect Beam Pattern] Same beam pattern as H11 halogen lamps. AUHDER’s LEDs are super focused. The max light output helps you see clearer, wider and farther, so you can enjoy one of the brightest lighting performances and have a comfortable driving experience at night.
[Plug and Play] Mini sized lamp body. A halogen-like size means it’s easier to install. These h11 headlight bulbs are made to fit directly into stock housing and factory sockets, so there is no hassle on the installation.
[CAN Bus Built-in] CAN Bus Built-in makes our h11 led headlight bulbs compatible with 99%of vehicle systems, upgrading drivers with built-in intelligent IC and temperature control. These ensure lamps are working at the best ability without errors or radio interference.
[Cooling Fan] Whole aviation aluminum body (including Chuck) and a 13,000RPM turbo cooling fan provide enough cooling ability to ensure the H11 led bulb white bulbs lasting up to 30,000 hours.
› See more product details","Product information
Technical Details
Brand AUHDER
Item Weight 7.2 ounces
Package Dimensions 4.9 x 4.9 x 2 inches
Manufacturer Part Number HL-A1
Additional Information
ASIN B07YXYY239
Customer Reviews
86 ratings
4.7 out of 5 stars
Best Sellers Rank #8,464 in Automotive (See Top 100 in Automotive)
#431 in Automotive Light Bulbs
Shipping Weight 7.2 ounces (View shipping rates and policies)
Date First Available October 10, 2019
Warranty & Support
Product Warranty: For warranty information about this product, please click here
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",94,7.2,ounces,7.2,4.9,4.9,8464,3 (30 Days Avg)
12,https://www.amazon.com/dp/B07V25MZHV/ref=sspa_dk_detail_1?psc=1&pd_rd_i=B07V25MZHV&pd_rd_w=73xRC&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=EfJg6&pf_rd_r=YC4VQJ5KVYKN4E27ZG6T&pd_rd_r=2754ffa0-a299-45df-b9e0-82341cec192a&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExUDNEV0xWSzAxRlY0JmVuY3J5cHRlZElkPUEwNjA2ODU3MVVPNVE0VjdHSU1TMCZlbmNyeXB0ZWRBZElkPUEwMzMxMTgzMUFBS0VDOEhONk5aTiZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,39.99,Chemical Guys WAC22916 HydroSlick SiO2 Ceramic Coating HyperWax,"UNLIKE ANY WAX YOU'VE EVER USED BEFORE: In order to create a product that offers the shine, protection, and durability of a ceramic with the ease of use as a wax, we had to invent a whole new category: a Hyper Wax.
FIRST EVER HYPERWAX: A Hyper Wax combines the ease of use, shine, depth and clarity of a wax combined with the longevity, beading, and slickness of a ceramic coating.
LATEST IN GEL SUSPENSION TECHNOLOGY: Hydro Slick uses the latest in SiO2 gel suspension technology to totally re-engineer the makeup of a ceramic coating and reinvent it as an extremely user-friendly and durable coating that anyone can apply.
HYDROPHOBIC WATER BEADING: Hydro Slick uses ceramic SiO2 nanotechnology to seal the pores of your car’s paint, creating a perfect layer where water behavior becomes highly and excessively active, resulting in rapid water acceleration off any treated surface.
YEAR ROUND PROTECTION: The durable shield helps protect against road grime, water spots, industrial fallout, road tar, bird droppings, pollutants, brake dust, tree sap, road tar, overspray, and more for up to one year.
INTENSE CRYSTALLINE HYPER SHINE: By filling in microscopic surface imperfections, Hydro Slick creates a super smooth surface that reflects light back at you with unparalleled shine like only a true ceramic can!
THE EASIEST CERAMIC EVER: Easy to use ultra fast applications means anyone can apply and get ceramic protection in just minutes!
Show more","Product information
Style:HyperWax
Technical Details
Brand Chemical Guys
Model HydroSlick SiO2 Ceramic Coating HyperWax
Item Weight 1.2 pounds
Package Dimensions 7.7 x 2.4 x 2.4 inches
Item model number WAC22916
Manufacturer Part Number WAC22916
Cover Included Product
Additional Information
ASIN B07V25MZHV
Customer Reviews
141 ratings
4.4 out of 5 stars
Best Sellers Rank #584 in Automotive (See Top 100 in Automotive)
#4 in Waxes
Shipping Weight 1.2 pounds (View shipping rates and policies)
Date First Available September 11, 2019
Warranty & Support
Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service.
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",1242,1.2,pounds,7.7,1.2,2,584,38 (30 Days Avg)
13,https://www.amazon.com/dp/B07K6YKZBK/ref=sspa_dk_detail_6?psc=1&pd_rd_i=B07K6YKZBK&pd_rd_w=NQ60K&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=ol6ST&pf_rd_r=452FQ75G9TGX0FQY880C&pd_rd_r=ab474c69-614e-48f0-81bd-15597426f392&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFKRVVIME5FWUtZNDMmZW5jcnlwdGVkSWQ9QTA0NzQ5NjgySUNCRUlZM05KS09MJmVuY3J5cHRlZEFkSWQ9QTAxNDI2OTIzVlQyUE9QQVFUSlgxJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,28.99,"Car Windshield Cover for Ice and Snow -Wiper Protector -Waterproof Car Windshield Forst Cover for SUV, Vans, Truck Universal Cars- Sturdy-Self Storage Pouch-Keep Your Vehicle Exterior Ice Free & Clean","Upgraded Material :Heavy duty 600D oxford cloth,fire retardant materials,much thicker than normal 210T polyester, better tear resistance and durable use.Soft inner material, no scratches on windscreen.
100% Waterproof :High level PVC coating 100% waterproof material, protect your windshield from snow/ice/frost all winter,save your time in the busy morning,no need to remove the snow by scraper.Keeping Snow and Ice snow will not leak into the car through the cover.
Non Magnetic Scratch: Cancel all magnets to avoid scratching your paint.Also with two elastic straps and 30 cm extra long side flaps that wrap inside car doors to keep it in place.
Four Seasons General :Prevent frost, snow or ice piled up on the windshield in winter, blocks UV Rays and keep cool in summer,block dust in spring and keep away from fallen leaves in autumn. With its ultra-thick design, also can be used as portable mat indoors or outdoors.
Universal Fit :75”L x 0.1”W x 42.25”H inches large size,quilted and very easy to fit. Fits most sedan cars,estate, hatchback and SUVs. Please measure your car before purchase.
› See more product details","Product information
Technical Details
Brand EcoNour
Item Weight 1.78 pounds
Package Dimensions 14.1 x 11.8 x 1.8 inches
Manufacturer Part Number ECOSNOWSHADE02
Additional Information
ASIN B07K6YKZBK
Customer Reviews
62 ratings
4.7 out of 5 stars
Best Sellers Rank #7,053 in Automotive (See Top 100 in Automotive)
#37 in Automotive Windshield Snow Covers
Shipping Weight 1.78 pounds (View shipping rates and policies)
Date First Available November 4, 2018
Warranty & Support
Product Warranty: For warranty information about this product, please click here
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",325,1.78,pounds,14.1,1.78,11.8,7053,4 (30 Days Avg)
19,https://www.amazon.com/dp/B081R6VFMD/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B081R6VFMD&pd_rd_w=iTPPd&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=u38X3&pf_rd_r=FAHAKS6KGB9Z7GEFA26X&pd_rd_r=194c59df-d062-4474-9e79-4b9e0b0fceaf&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyTEVSVkdEME5SQzRHJmVuY3J5cHRlZElkPUEwNTE1OTE5MTMyQ09OTlZTT1EyOCZlbmNyeXB0ZWRBZElkPUEwMDMwOTc5MkpJUk5IOTZGVzNKVyZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,24.99,"Foval Digital Tire Pressure Gauge 150 PSI for Car Truck Bicycle Instant Read with Backlit LCD and Non-Slip Grip, 4 Pack","Backlit LCD display and lighted airtight nozzle that seals the valve stem on Schrader valves, visible in dimly light areas.
Quick and accurate readings in 0. 1 increments; 4 settings with range: 0-150PSI / 0-10Bar / 0-10Kgf/cm² or 0-1000KPA.
Digital tire pressure gauge with instant display and automatic turn-off after 30-40s standby. designed to maintain correct tire pressure.
Ergonomic design and non-slip texture suitable for both men and women's hands. Press ""ON/SWITCH/OFF"" button to turn on the tool, select the range to test the tire pressure.
Ideal car accessories gifts for men, especially in birthdays, Christmas and Father’s day, compatible for cars, trucks, bicycles and motorcycles but doesn’t work with presta stems. NOTE: these 4 gauges are packed in 1 box.
› See more product details","Product information
Item Package Quantity:4
Technical Details
Brand Foval
Item Weight 8.8 ounces
Product Dimensions 5.9 x 3.1 x 3.9 inches
Manufacturer Part Number TPG-01
Additional Information
ASIN B081R6VFMD
Customer Reviews
3 ratings
4.6 out of 5 stars
Best Sellers Rank #6,691 in Automotive (See Top 100 in Automotive)
#45 in Analog Tire Pressure Gauges
#114 in Tire Repair Tools
Shipping Weight 8.8 ounces (View shipping rates and policies)
Date First Available November 19, 2019
Warranty & Support
Product Warranty: For warranty information about this product, please click here
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",10,8.8,ounces,8.8,4,5.9,6691,4 (30 Days Avg)
21,https://www.amazon.com/Swigzy-Holder-Expander-Adapter-Adjustable/dp/B0752DZ1SB/ref=pd_bxgy_263_3/144-9889044-4507860?_encoding=UTF8&pd_rd_i=B0752DZ1SB&pd_rd_r=ed5a8caa-2be3-418d-bdc4-06dfce05093b&pd_rd_w=hpwnb&pd_rd_wg=aeQFg&pf_rd_p=09627863-9889-4290-b90a-5e9f86682449&pf_rd_r=16HAV6X3F0RA9MS1V6GR&psc=1&refRID=16HAV6X3F0RA9MS1V6GR,25.99,Swigzy Car Cup Holder Expander Adapter with Adjustable Base - Rubber Tabs Hold Most 32 - 40 oz Bottles and Large Cups,"EXTENDABLE BASE: Insert is expandable from 2.5""-3.75"" in diameter to fit many different automotive cupholders. It also works great for golf-carts, motorcycles, boats, trucks, and RV's.
RUBBER TABS SECURELY HOLD 3.4""-3.8"" DIAMETER BOTTLES: The rubber tabs are firm enough to keep your bottle from tipping over while driving, yet soft enough to let you easily remove your bottle when you want a drink.
EXTENDER DESIGNED FOR OVERSIZE (3.4""-3.8"" diameter) BOTTLES: Adapter works best with bottles/cups 3.4""-3.8"" in diameter and fits most 32 oz. - 40 oz. water bottles. Slot on side allows mugs with handles to fit.
ONE YEAR WARRANTY: The adapter is made from high quality ABS and is designed to handle even the most rugged driving conditions. We stand behind our product 100%
EASY TO ADD OR REMOVE FROM CUP HOLDER: Just twist the top of the adapter to expand or retract the base, allowing you to add or remove the adapter like a pro! (SEE PRODUCT DESCRIPTION TO MAKE SURE THE ADAPTER WILL FIT YOUR VEHICLES CUP HOLDERS)
› See more product details","Product information
Technical Details
Brand Swigzy
Item Weight 10.1 ounces
Product Dimensions 4.4 x 4.4 x 6.2 inches
Item model number 13
Manufacturer Part Number CH-1
Folding No
Vehicle Service Type All of the above
Additional Information
ASIN B0752DZ1SB
Customer Reviews
864 ratings
4.6 out of 5 stars
Best Sellers Rank #509 in Automotive (See Top 100 in Automotive)
#3 in Automotive Cup Holders
Shipping Weight 12 ounces (View shipping rates and policies)
Date First Available August 22, 2017
Warranty & Support
Product Warranty: For warranty information about this product, please click here
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",864,12,ounces,10.1,4.4,4.4,509,49 (30 Days Avg)
4,https://www.amazon.com/dp/B000BMWXZM/ref=sspa_dk_detail_9?psc=1&pd_rd_i=B000BMWXZM&pd_rd_w=BanmO&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=sccZp&pf_rd_r=VT4EPJ490ZNQB9XKGN9X&pd_rd_r=e8e784bf-4503-4f4f-9332-66693f4a9e93&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExTkpRVURXWkVJTzdaJmVuY3J5cHRlZElkPUEwMjY5MTY5MzFERlhFNFlOUkcxNyZlbmNyeXB0ZWRBZElkPUEwMzAzMzc5WFZCU0lRWkJZSk5aJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,24.95,"Lifehammer Brand Car Safety Hammer, The Original Emergency Escape and Rescue Tool with Seatbelt Cutter, Made in The Netherlands, Orange (2-Pack)","A high-quality car escape tool to help prevent automotive entrapment
Double-sided, steel hammer heads breaks through side and rear windows
Razor-sharp blade cuts easily through safety belts
Includes a mounting bracket for installation
A fluorescent pin glows in the dark for easy retrieval
› See more product details","Product information
Color:Orange
Technical Details
Brand Lifehammer
Item Weight 5 ounces
Product Dimensions 8 x 3 x 3 inches
Item model number dd313
Manufacturer Part Number dd313
Folding No
CAPA Certified TÜV Certified, GS Mark
Safety Rating TÜV Certified, GS Mark
Additional Information
ASIN B000BMWXZM
Customer Reviews
430 ratings
4.5 out of 5 stars
Best Sellers Rank #5,202 in Automotive (See Top 100 in Automotive)
#23 in Automotive Escape Tools
Shipping Weight 9.6 ounces (View shipping rates and policies)
Domestic Shipping Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.
International Shipping This item can be shipped to select countries outside of the U.S. Learn More
Date First Available November 22, 2006
Warranty & Support
Warranty, Parts:Parts
Product Warranty: For warranty information about this product, please click here
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",430,9.6,ounces,8,3,5,5202,5 (30 Days Avg)
0,https://www.amazon.com/Leather-Honey-Conditioner-Furniture-Accessories/dp/B003IS3HV0/ref=zg_bs_automotive_7?_encoding=UTF8&psc=1&refRID=XNCFE96KH0WM9JP2PNG7,59.59,"Leather Honey Leather Conditioner, Best Leather Conditioner Since 1968. for Use on Leather Apparel, Furniture, Auto Interiors, Shoes, Bags and Accessories. Non-Toxic and Made in The USA!","OUR LEATHER CONDITIONER WAS INVENTED OVER 50 YEARS AGO WITH MILLIONS OF HAPPY CUSTOMERS. Same time-tested formula used today!
ONE TREATMENT LASTS SIX MONTHS OR LONGER. Deeply penetrates into the leather's pores to protect new leather and rejuvenate old leather. Softens, moisturizes and promotes flexibility leaving your leather feeling and looking beautiful! A little goes a long way; no need to reapply monthly as with other products.
THIS LEATHER CONDITIONER PROLONGS THE LIFE OF ALL TYPES OF LEATHER, including leather furniture and upholstery, automobile and motorcycle seats, boots, gloves, purses, jackets, saddles and tack. Non-toxic, non-solvent, not sticky, no odor and does not contain silicone. Water, snow and rain repellent formula. Not for use on suede or faux leather/vinyl.
UNLIMITED 100% SATISFACTION GUARANTEE. If you're not satisfied, return the product at any time for a full refund.
A LEATHER CONDITIONER THAT IS MADE IN THE USA by a small family business owned by the grandchildren of the original inventor. Use with Leather Honey Leather Cleaner, also available on Amazon!
› See more product details","Product information
Size:8 oz
Technical Details
Brand Leather Honey Leather Conditioner
Item Weight 5 ounces
Product Dimensions 5.9 x 2.8 x 1.2 inches
Item model number 5783400203
Manufacturer Part Number 5783400203
Folding No
Special Features Leather
Additional Information
ASIN B003IS3HV0
Customer Reviews
6,522 ratings
4.4 out of 5 stars
Best Sellers Rank #7 in Automotive (See Top 100 in Automotive)
#1 in Leather Care Products
Shipping Weight 5 ounces (View shipping rates and policies)
Date First Available April 23, 2010
Warranty & Support
Warranty, Parts:Parts
Product Warranty: For warranty information about this product, please click here
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",6522,5,ounces,8,5,5.9,7,71 (30 Days Avg)
7,https://www.amazon.com/ULEEKA-Organizer-Protectors-Universal-Accessories/dp/B07NY9H3GP/ref=zg_bs_automotive_33?_encoding=UTF8&psc=1&refRID=QB33FQTRMNDBWNZRKCSF,21.99,"ULEEKA Car Backseat Organizer with 10"" Table Holder, 9 Storage Pockets Seat Back Protectors Kick Mats for Kids Toddlers, Travel Accessories, Black, 2 Pack","Large Car Organizer : 24” x 16” inch perfect size for all types of vehicles; Adjustable top and bottom straps that remain hidden and out of the way so the front seat passenger and driver don’t feel them. Easy to clean the dirty prints on them, just need a wet cloth to clean it up. Water-resistant, machine-washable fabric for easy care
9 Storage Backseat Pockets: Multiple storage compartments to handy storage of snack foods, children toys, water bottles, drinks, books, magazines, CD in it, more storage pockets than others sellers, give you more storage space and keep the car nice and neat
Touch Screen Table Holder: The large built-in car tablet holder can hold any tablet up to 10 inches. Not only do you get an iPad car holder, but an unbeatable car organization and a car full of happy passengers
Durable Material: The back seat protector uses improved stronger 600D Polyester, waterproof frosted PVC, Not only protect your seats from scratches, spills, stains, scuff marks, mud, dirt, and getting worn out, but the extra-long, adjustable straps with quick-release buckles give a universal quick fit in any vehicle
Enjoy The Guarantee: You will get 2 pack of car backseat organizer + 1 year warranty guaranty, no-hassle free replacement and refund guarantee, 24 hours quick reply
› See more product details","Product information
Technical Details
Brand ULEEKA
Item Weight 10.4 ounces
Product Dimensions 5 x 5 x 0.7 inches
Item model number ULEEKA001
Manufacturer Part Number ULEEKA001
Additional Information
ASIN B07NY9H3GP
Customer Reviews
749 ratings
4.8 out of 5 stars
Best Sellers Rank #33 in Automotive (See Top 100 in Automotive)
#1 in Automotive Seat Back Organizers
Shipping Weight 1.09 pounds (View shipping rates and policies)
Date First Available February 22, 2019
Warranty & Support
Product Warranty: For warranty information about this product, please click here
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",749,1.09,pounds,10.4,5,5,33,71 (30 Days Avg)
18,https://www.amazon.com/Chemical-Guys-CWS20316-Foaming-Upholstery/dp/B06XPSP2HS/ref=zg_bs_automotive_69?_encoding=UTF8&psc=1&refRID=95CJCKT6TMEX00DDZ2AM,59.59,"Chemical Guys CWS_103 Foaming Citrus Fabric Clean Carpet & Upholstery Shampoo (16oz), 16. Fluid_Ounces","Fabric cleaner: cleans cloth, carpet, upholstery, and more
Stain Remover breaks down set in stains
High sudsing foaming action lifts dirt & stains
Removes foul odors and helps prevent new ones over time
Restores a like new look and feel to fabrics and interior cloth surfaces
Breaks down and removes stubborn stains
Works on indoor and outdoor fabric, upholstery and carpet
Show more","Product information
Size:16 oz
Technical Details
Brand Chemical Guys
Item Weight 1.22 pounds
Product Dimensions 10 x 2.5 x 2.5 inches
California residents Click here for Proposition 65 warning
Item model number CWS_103_16
Manufacturer Part Number CWS_103_16
OEM Part Number CWS-103-16
Cover Included Product
Additional Information
ASIN B06XPSP2HS
Customer Reviews
562 ratings
4.6 out of 5 stars
Best Sellers Rank #69 in Automotive (See Top 100 in Automotive)
#1 in Carpet Cleaners
Shipping Weight 1.25 pounds
Date First Available March 16, 2017
Warranty & Support
Warranty, Parts:Parts
Product Warranty: For warranty information about this product, please click here
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",562,1.25,pounds,16,1.22,10,69,71 (30 Days Avg)
20,https://www.amazon.com/Lexol-Leather-Conditioner-Cleaner-Kit/dp/B07LGVZLP9/ref=zg_bs_automotive_75?_encoding=UTF8&psc=1&refRID=PGH4E01A6ZW5KDZR1TX8,59.59,"Lexol Conditioner Cleaner Kit, Use on Car Leather, Furniture, Shoes, Bags, and Accessories, Quick & Easy Step Regimen, 8 oz Bottles, Includes Two Application Sponges","Easily clean and condition leather to renew its appearance and prolong suppleness with this 2-step Lexol Leather Regimen Kit
Kit contains: (1) 8 oz. bottle of All Leather Deep Cleaner, (1) 8 oz. bottle of All Leather Deep Conditioner, and 2 Premium Applicator Sponges
Cleaner restores and revives leather by lifting dirt and oils, allowing them to be easily wiped away
Conditioner contains fine oil droplets that nourish, restore flexibility, and protect leather against cracking without leaving greasy residue
Easy-to-use cap dispenses, Ideal for use on: leather auto upholstery, footwear, furniture, handbags & briefcases, sports equipment and luggage
› See more product details","Product information
Style:New: 8 oz Kit
Technical Details
Brand Lexol
Model Lexol Leather Conditioner and Leather Cleaner Kit, Use on Car Leather, Furniture, Shoes, Bags, and Accessories, Quick &
Item Weight 1.5 pounds
Product Dimensions 4 x 5.4 x 7.1 inches
Item model number Leather Conditioner and Cleaner Kit
Manufacturer Part Number E301521800
Cover Included Complete Two-Step Leather Regimen Cleans and Conditions Car Interior
Special Features Cleans and Conditions, Trusted Since 1933, Non-Toxic
Additional Information
ASIN B07LGVZLP9
Customer Reviews
1,206 ratings
4.4 out of 5 stars
Best Sellers Rank #75 in Automotive (See Top 100 in Automotive)
#8 in Leather Care Products
Shipping Weight 1.5 pounds
Date First Available December 18, 2018
Warranty & Support
Product Warranty: For warranty information about this product, please click here
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",1206,1.5,pounds,8,1.5,4,75,71 (30 Days Avg)
22,https://www.amazon.com/Bickmore-Gard-More-Water-Repellent-Neutral/dp/B000HHLM9E/ref=zg_bs_automotive_86?_encoding=UTF8&psc=1&refRID=28W6CCJ4F1GZXT158KEX,59.59,"Bickmore Gard-More Water & Stain Repellent 5.5oz- Leather Protector and Suede Protector Waterproofing Spray Guard for Boots, Shoes, Clothing, Hats, Jackets & More","SUPERIOR WATERPROOF TREATMENT- Bickmore’s Gard-More Water & Stain Repellent has been specially formulated to add a protective layer to your valued goods helping guard against water and stains while minimizing rub off and scuffing.
WORKS ON LEATHER, SUEDE, FABRIC, FELT, NUBUCK AND MORE- Protecting against dirt, water & stains on all colors of hats, coats, footwear, tack, jackets, shells, gloves, furniture, luggage, car upholstery, boat seats and more
BREATHABLE: Gard-More provides a strong invisible layer of protection, while still allowing the material to breathe, keeping leather and other materials flexible and looking their best.
MADE IN THE USA: Bickmore is proud to make all Bickmore Gard-More Aerosol in the United States of America.
› See more product details","Product information
Size:5 oz
Technical Details
Brand Bickmore
Item Weight 6.4 ounces
Product Dimensions 2 x 2 x 6.8 inches
Item model number 50-6025
Manufacturer Part Number 10FPR130
Folding No
Cover Included repellent
Special Features water-resistant
Additional Information
ASIN B000HHLM9E
Customer Reviews
232 ratings
4.5 out of 5 stars
Best Sellers Rank #86 in Automotive (See Top 100 in Automotive)
#1 in Horse Tack Care
Shipping Weight 6.4 ounces
Date First Available January 16, 2007
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",232,6.4,ounces,6.4,2,5,86,71 (30 Days Avg)
23,https://www.amazon.com/Apple-Brand-Repellent-Conditioner-Protector/dp/B00B6F9KXG/ref=zg_bs_automotive_93?_encoding=UTF8&psc=1&refRID=68CG1AVX3T9AM4YV4GW4,59.59,"Apple Brand Garde Rain & Stain Water Repellent - Protector Spray For Handbags, Purses, Shoes, Boots, Accessories, Furniture - Won't Alter Color - Great For Vachetta","SAFE FROM RAIN & STAINS: Garde will make sure that your handbag and shoes are safe if you get caught in the rain. By forming an invisible protective layer, Garde keeps your products free from water spots, salt stains, body oil, grease, perspiration, coffee, wine, and any other dangers to your leather goods.
WON’T AFFECT APPEARANCE: Apple Brand Garde will not alter the color or shade of your products, or leave any sticky or gummy residues. Our products are trusted by some of the biggest names in fashion and are recommended time and time again for their gentle yet effective care on leathers and fabrics.
USE ON ALL YOUR FAVORITE PRODUCTS: Great for handbags, purses, heels, flats, shoes, boots, wallets, belts, furniture, car interiors, and more!
MADE IN USA - SATISFACTION GUARANTEED: We are proud to keep all of our manufacturing and customer service in the USA and stand behind all of our products 100%. If for any reason you are unsatisfied with your order please let us know and we will be sure to make it right!
› See more product details","Product information
Technical Details
Brand Apple Brand
Item Weight 7 ounces
Package Dimensions 6.4 x 2 x 2 inches
Item model number 13
Manufacturer Part Number 4332947318
Special Features Leather
Additional Information
ASIN B00B6F9KXG
Customer Reviews
709 ratings
4.4 out of 5 stars
Best Sellers Rank #93 in Automotive (See Top 100 in Automotive)
#11 in Leather Care Products
Shipping Weight 7 ounces
Date First Available May 11, 2012
Warranty & Support
Product Warranty: For warranty information about this product, please click here
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",709,7,ounces,7,2,6.4,93,71 (30 Days Avg)
